Node,Load of node by messages routed
1066929390664603189861170034034210836150008925493,3261
1016201277483943301378998604887208925799594153830,4425
158080220909181043957736119203636176034176232336,1210
390957180653087000883577282881815578919822873603,5748
559425873475684483831756120115767424928196262344,2053
70368569818222414861089384666113197137861884972,2575
598432350812692243025013780654573610216626133783,6792
1422028158127942735151567810869335684831263666259,1821
1031868547156085671720495791532462394026626260556,1973
157710772540075922490456360830297709536396901538,4022
574296871600748586762610868572670775982668609289,6745
1370260467125094771967349942560036070331163268042,2477
437006256281415053362027853607952176942666707951,7834
630953525317037379382641794210055123190500465027,5365
305841049458852725278566069786571166461489416911,3424
1073338550761611707718862920348910958758001301377,2363
852422245222132622755981121392467975866337865006,5186
890010049407169570576252418262415103858496270541,9187
731744038832684408165602283091335407361286080087,2680
1422875941162719161752478687427460679307608894721,3176
10920845110419175926137348657986601756456476158,11186
152026596195897907270006014070238670425554233286,2924
1178554775113476425192002425032679461393693215600,2734
717648658353428568253431468389610258367843187601,5296
961205547020112127028162450403184582890506736317,2578
1453193095146585822627284022473504706611878581595,2619
45323680025237448924107381533260074963540200890,6982
393826184290765683972652694306202755318187824231,3554
1317731759180787693123381839896526656591363274169,3450
501537094096470076691343223203347026788003336747,2764
475689648763726737898155621738956374480055316141,4433
555236328141050466875682200164607198479839890413,1647
503673815245568017870060300478465876596585745770,1755
1617798682052380866668886204098973285741549187,2323
323446039417252979943655673078159795004890910738,6089
1263128637326156052216937514686976462047204489,3455
664866531140893391320432662756412357077771348388,4296
314747146816975802880925333626267866294511395642,2200
426086328818215981242346368665552887971855263673,1447
423382295204459747326276122519823448719557505857,9050
1421611579159250989387900087420102941459709842807,626
174059552711125545946303159717897594526473518375,2596
1215262578161243565830566427374651387775602527240,4074
1011714907867711752302517531719407855903362672487,590
1388609759825428471795968534050127384370830600622,9022
30149409239918139987582331132266834949788414587,7528
387153838289490607542889174525677763989340848629,1407
537148075533855086688577222559908990749269757846,4387
1156005540810091206320799296511949416417035642256,3759
1292371991254618940240990887797103077644044133586,5644
615878622928305951284249925585179076062018694043,3662
857319696477856153649195577586427615463491327697,2739
1229201842173626525442202168747024266080536350922,6827
425948577822004770282154035654056881274244840854,5514
1029726408435122402656357174375766775187843108431,4618
1140366020024106738466760647120618593304657802555,2291
688769632744875034984913028136183211289601898219,3356
915191953632685890148335620978628403107909263306,7377
675265184515802165731201955093404891787971001153,4475
861377837714232431418322008348880307302955577117,1076
582800169442128236955127012997476309280994315441,3185
587056857455280982377184589068504629306035285926,4523
503324463362617417242008372064786930028334293969,3796
766266781167745438474900665382428810529124881527,1685
105840396802993246867870003454819803831786635426,5748
