Node,Load of node by messages routed
935703368955909991722315282088161993972502012184,10
1438889214851255675474623361776760316653415008737,14
371771477098972710735759792444176668199611479161,21
839290248479906832549744551009459177996809234946,13
1018269784471116281226802612606036186174031381525,63
692118090096517020568120483155639706859073945173,4
867774538160386618794886193169690716372079305402,10
1290382791742176256535178914624426186162231352405,96
108026911115441035773967583734194104904550251370,54
789625786454782273865396170336506298420899315407,102
1185180986714329305734975702094464894022898160199,122
1392306687570796052119502358674758568075179585566,12
147018406471236250830300129334160636788335375940,5
457180292888053907873795751036297958406266077661,3
700986874832526628502630751397564467415343526272,34
868638060086620366884989346244977620411161272047,13
171009721273423642597649724586393160746444326523,20
590148927048853934881806626606236808000360149727,17
801154579644394135394828514224198340010106252872,57
293318137715423352251610578450826812457411323517,82
222350620263719355664626654326223981433076329112,11
464850363649932879631632806595360806314008064539,17
1412462091549079704292862646421866538230818998898,57
942076412304852557298046777592254190897742495051,3
821384353966770606478127147986493415640384786358,89
781914779774538970795128234325095282734477023270,20
425048013273184639635729287000993669389336182143,10
137822419346691007198552860249836499215742787616,9
1258937533923076681674900019083632576482379813172,30
792552911958035441704138680967606853394554960303,7
591506515397361703694690702354064190508180371378,26
873118602928995550801824212946501511600904889416,16
1412765215811581571370802904938099638516983832536,14
1342463854691086930878417407377766158497870882202,8
1399817837868629603390673055983060613281407502764,27
1065178911808944245794168119401439559922021419040,13
971697921304643786506987090294500490198544925741,60
1010942387218605576461175453442480007452850323415,7
1036592669254594256767234480131175572744965634908,12
913243007011781945291466053094764093640502757794,34
295465479311058969587428418731425161191639912801,78
1039895477001531947715119887616744320757995141302,1
646127000526765450194773410144897121609487221641,19
901277001145873668464219925806987304825153615785,18
1418872535279061770781834998046707748338421561121,138
1112476547283045326598313752336106396917912615024,9
933015304156250875646822282051778839534105600629,4
1436095545200856698105292570060691706109413937539,35
228889707207422959199235678559511711618046712950,10
1134753424288849367617044799617949521114150130953,5
1126692204562703894278462884061752327450775515660,26
296116525729982085687156632296297857136711111369,77
435502533622883902305507736414282819045604041301,81
1121491522743334611400058308569752041136948289066,13
844461473216274211977723446997787300232477309127,33
447946040642034645009677433584205277183302815932,4
656358143451770216152413655789200687147926856189,8
841502514761403325137875931210898654448140083230,41
956977223241213247615441673741907332089638655969,25
358795630621891161763118431144207472745561342224,34
388600427113419420367853130893011050893750171470,14
858859298588221107180274260553608012152325399317,5
900955788872558361687143662229423008533235857762,31
159058505461896262559804635704493979304451708908,12
625320441399744695308279037784288596752858810768,221
1441856856653242804215472197068298166904783158455,7
213509316301017878697453936349734287743931191512,75
1196436935385230520807839836538556855331793709499,98
1387426702044002694518754135302101825259083966653,91
128105251365847349578845790881570591290162996336,24
194799912159747539237525770988297508688801424161,32
493360001680417009769701342488690483205455573676,21
1004394239070701908930655725391184338664529446202,14
69489035406885818730479734263104648946174124785,15
325647129423151658588259780551210768627379762303,8
838404897978917042861752738587452209457572550663,26
1331235935545730765347325377521105817648958357868,14
938865168641302304427158204889353363707870293394,11
635603412467218583920327586702169441626139218795,13
917407864075673758857638462573786603563441437212,18
1396689645688326524828912718184419537449880968723,29
71183497941045760794739356208905857011815746593,9
629521795830528270684125030372315583427768987704,9
1052176680970849583499107857364126335229147185077,7
806370183936820457096332830485924359397969348582,70
1336329332440682347114302033987404862936281984500,108
779428240401628103515803547612669090069884072013,17
1137625194027773447476777694338378253646144189082,12
941795000838458362510049534948672678294777101282,38
75511904061119963229027416133438102021538425660,23
1107783422527382259954202759596144034913146397409,62
288099371982641133411678831923214445462437179890,33
762671966816498025539367783391638327911685016276,48
441688863269223114239822540643897696271062265863,15
575722548771137898356014113348824793678215715940,12
14206809189481581893384426361231780621875405671,26
778955097341682336987437488870138295651628397312,95
345971855794805012253819590955764918357741217753,35
955323777955498829162923656775740732822579847370,20
1067113817905306446281455185865276688161883510946,12
645248390081027555490732272036771859027635511716,28
264741283825867460365825014854246675647574494062,15
991260285561189422374117252664279060397771100241,26
421506758328337032527048555345087570618105385919,29
268476391302985917161703746217861281133920860148,65
549270878544470797740977244559976282828454798935,11
1048676106757231184413764556337548838959098133761,32
832701261866812185940228631455201118007224798540,6
1227991533000562599347940353326623248025727114340,42
116879308302162612056232293393144899111890554799,69
1247551103293042478123198605229612697485661474865,54
683169437347633900475500664553261932470816884642,65
498077216518856116497891403311202016285563987576,10
2169274411476668103161613495487349733681921141,68
1365677634586780816009794837943269039266224075674,77
904579575304085014693710653853698377752994294498,8
529389408883483113119018729610867803604952714679,77
740008345337177715020160500958391213553672471992,6
1360671317287397347463821817277993655038991327185,103
1135028415116726294650377195057335523660312162060,8
261622637643125745529947770981357089410294173238,6
1313663013037862665407808801616991289123122733640,23
200689882906170152271599239738662299689082868430,88
173062212591468586034771528282565446297738374146,16
133126790432648304697724796022022052803578061312,51
1400812453216736286476700762359193559091147975526,13
725330031299530904353996540385359372060314218297,75
114165758444343383288918759320626576191829858301,9
23056512779233083554601923143188529362463496903,68
990821054689821766146107450052753029102016690092,26
1232213279039666232201481533267297592717070454395,9
413743482029491891977241614472345533600739512612,131
1379996975700529824792469890963844386366384538802,19
1236139450914552344167510001707230866336254808752,20
1100281297772166639743535973820121500041065565247,9
802004102513568944790930425831082884156639329301,11
1247888007749312458553925234200505565918371573606,61
