Node,Load of node by requests
1090046086339207563522860872238074223062125330757,9189
317150459001190785627872497703794956109131897053,9924
1071604692066251175992821973559499250466037293692,2310
938130817579959992789264441508908794453071545001,2842
957309460273873127361736047285722403332375523661,6971
276546245848043370177360653128592441781489232036,4302
65009343532740823800264100554531700671270274793,18187
771870842970529250281165329064509500554517548107,11339
1114901026691627156781767300731967730345541714133,12316
692901190102558875951204694620215979899546146373,15770
492539761361086821056897042664106438853863709917,12111
393427267517553093693299650079462256416145264598,74
999833023104619888566262171396882759329352532608,4743
730054902496442994945955539213115219543889086562,1885
281879511579635243415407230725951681709679541762,2350
538088612051318264550796574437220268357292124849,4532
1033022694857277019575536713394523031547388588649,115
799642761927589017400268845301611236168088275087,11976
1280374524515851721625725284631001007401232840884,1
841031152213928873429171333045365887230657524896,4971
249371764437475739904915107503490456855846694726,41753
282875373847007240834025180471500630363657137072,424
258730759254321302482873110168716176308003643236,4153
804794729715827386624969797125219923063552197041,2279
21015718543883177249236186950596789388464454262,1031
1007508886323513278229443289574215258904636375183,2404
18638269300916146710429817879502488127736394259,11568
1138742485984645775007821217080818089422344148383,508
989159289789002565626532278505352212617577135391,495
365595840831030652449034521058971975837007389459,13058
152366534131679073315688743848942295236620902834,301
659348127145296061704653051937459720513975619301,6043
428909530850522455114845350383985003393392706296,4414
880422215675804295700753902220198501901302826198,1798
1222955531084816790354109971082108722761027618803,12502
1280303189272255428393444682977300723227416693502,3155
595116150465484932824631223359962375511204373794,11110
742146317837812329125107812997606627355539793817,52
333385118390554091391690464833743389257287774390,1880
265763818810859419171631875150623024388837533269,3390
856466185287808717193664797817965961526105134386,5998
569778529429267667712566575399937431392550370754,13287
938386772662544933667137954820708050519819496158,22
1272847679493051876375022195180870344977259884599,18505
446208185122747040418503519446017616706360119260,7288
987117825720653946522602936953741026681512679442,11836
892382591171081460304254796434132795424662262500,4632
828079545983140828318522633235983449768136898882,10076
322168643300547730938685189612428242698341407408,419
939640811343533043386576048721059621592805269943,587
392216238030677961987270452351852785165152909160,11323
742006233924449281245743458909951413372415808991,3050
1401874438203231689914814684549882213568332683830,8146
872983265844454645430205341078863417935004094487,6308
932200869151151511769756508157766315485159545407,2875
289707774233933867428994649908787963317726749760,1126
877067571080917481507833842585896912037562862837,2022
93971321658011531600027633928060205216630838456,11709
734511219243364474014311535692174297071668935860,477
1192518926905001427586053239333520323598134214319,7752
151266800627446060606239970227416013508002529628,1384
1370386712768197209372837380294624004297536625104,18626
146831979394794527426928876626925170444468333980,8965
1032375476621686372432314850165309527790589088064,1275
1381195177789153720342621219044727125132024023701,4243
320696767108797637929823991850073188212934674615,1452
397166673566588732446895078351259776355225295936,1229
328229498190744414416431260223717422686668760274,2457
539766186025329813070202194433295460822086638188,726
1137656138554967220606303529915996128741260357729,7483
1312579000599838317152902159698359719227631040264,9599
637993896821272286534480272346673868562505736795,13852
1035986748824107892647484864559845216062027118059,1504
527693415675378733233475505208847083464173261889,12977
1068098142991022819629026893046114508251865795562,908
1066146225011195410501990065943563186592241517769,13174
912298017197804302361937847321150101930926107280,8332
287256211072488302809250187661057066532104569540,1802
419633309370587840489295535866417880714281815645,10417
1157831032089080231507586257626533404795682472164,7193
126537743397592638291489394635091543872743822372,15631
925964572452874861757132606361531383144117782968,6583
724476949498046983386087905222595533253754426557,393
1451719787558778682544020862515135461804712455637,19650
1230496360784956657333430103189262975665718558111,3043
337278837902425844197172308110268024090057927319,1868
1177663267413775109879399757319682525595470463986,8463
733009234297147332898577395369992129803068534856,1662
1288707729780033810146302733459496352084032426548,3551
604904296092388856111347659197530498862350716469,3814
1018879755966876361773243180015610575315867494059,459
1029283036826952413611245437801730552885437540274,4252
646103732555023666344255732924609409461303178688,3596
1325543990322781876553860039270951904745080253221,4960
829338940929510358284953906457353521809116671516,826
1017867594531883033647630277708670198437400604490,3976
464163464676425697352710762741128349724446769559,7018
723315902868587808382839077973692279987867083435,11517
1118618376104816294585424049144024038962530538470,1986
770729253053743901290587337599809264815669398478,6523
47051816822257768616664438464055027872368314815,7881
508710226424043291515983394341864688636465648798,6834
1261897520923892823772219096756447144137924029505,5153
600846031378571969119199416494630363015898624950,21762
822226766206855974468081364936093629475817258732,3330
369140579564999868787552979034387316712163075641,11735
652442291069136157835164545213367913060839300904,9663
20851288427158533745166363432924699700447957285,6428
630243521674830329373229007483207983556738268827,2912
468797356673470228362755581942191228357451413195,1617
1397845151821327565375217440068223906039531700139,3107
477715030215499398281903954832494146731898862937,2870
1176779053574183839174587481221173353858717902052,3401
1029247968805144662062280726544099746848003745999,9884
465724118005788734882823564561421183166728537298,9978
1452129724476493443798214325758592722084364435602,3901
619703738290084914038600665511237427901929388070,7584
1199933629377704372902196780974375225443147896688,2285
1140531397882016924155550507839520755663170297341,2130
132535019556791301489509429987104766353248727540,15432
928513189547315151568534449869741415533120968999,4552
515231950368312818951299979415595230397847837417,2980
685802857560694292756297715430814835187761722515,5006
286839695432769766168867226346999765683731889793,21111
1249507523254356106000585576048888669871941379227,3548
343088512079435632741363547349296887205085096084,10385
673236671111772981463074586250856661243413534631,4472
1389523734224020247636068708338506235108297894155,7810
853742725629455612513654579078684877643815249040,11371
99206286016334068721589430906472207836975067131,2013
1457928173500490052409142085101940323024572810365,745
828783183048973198212737612163126118143186618035,2232
1241546543817313643881366268797672556674830401384,13785
915653034614254435691009679748993448060433629204,200
703872090729941547270794594388112116367525806249,6651
297430885562907839588759475271139703304585009296,4111
70862442752391210702599838519762476869761551869,4865
952028244030621856709690741991167739061471172245,814
950765017666586537917968638483281940704835788643,4472
1210263654579289132785261500540984733942786850726,4853
1134782394270514821537585295559324603775503170270,3153
1456147209452723053851206740588989865255996025885,1703
494229142071864663332829878859504646675810757066,2326
235148195339455964272491951920299466467062331811,10090
794822613491940939708019322805062653521901270874,9958
1272476205381314025952104140864859068168155355994,4210
440206609398319665654275208834455798962343314509,5481
403952578393404796559176709171212780553693034634,16113
1314106316062339921312356695739169465175872034386,15228
210473816250250676806832027423146193129381946567,11603
1402669830027505009307405964625053849496017702914,939
621226647844034359794510626233569800613546368958,711
1171054301737468673435607938226850431306746625199,10984
1192766675476434131608437995334591282377387683050,6040
317757901916173059022192724257159255337678323132,417
489569597085436974070864117101354442051842497405,221
2475856232486751332413922561425011313291186781,2158
739020346565749968585990176945230630234954129891,15029
553101814629948877409177592262398380579643257885,13539
993449939290528479391716583692780418789533727749,13250
309619369807931139143881162776486678779371497961,4792
184305207082110579766758149235952747438519518960,2962
939968006991637891003034120423293381420133213943,4455
311193937042793052020057860876899792146427600161,506
1126774027037460446900711644335155768961903975851,20883
961854216336194712150873134230110175956843635967,3987
318363136509791748525892926454485105565503959812,159
1034470319165348542497304590671407890898743059514,3063
24667715011471373994193889051431411384177580419,1588
136881446764720634366813737409175373245150278010,1812
177422661214520170333037534818238416955555914467,19633
914618854641548654372134439010902609842612779642,22950
814244953575684788606585832568264583784348988349,7041
5250679645893598541266423447628366751605369442,1128
1400087203799084105903595128881310611406576283644,802
1066313681162120362599124135693223191788018750960,14237
6629042454735718364648580028674950062164605842,417
775555631130545521674867348061346262365858285142,2544
428495512800088593355202853487160619526694967385,6705
1439286944629849387310640009007679318696409419785,12587
1279700244004293542670975355782264793983156473105,2967
1077840988216915817463711753739342372238383175046,4823
93731782466803249035982615626016249229632227229,9159
1006397793271869815802774804198227892313184178847,4680
660758043666663381766732984493356882685771297067,3775
488739917034937441621068813235893791407595539280,3977
71560887473727495335310081691518890654312990884,438
860245106133402345009000942328920924941241149654,2752
754619894930371541576650385035415888280702155301,5632
414563772486094750911776875148846657550066834150,3408
178528923275947472627382069620502241513608651702,565
28214057225294295584410417915702282148795358492,2123
1442737021153465862304606566541982120980367218873,1553
1409693303842207941433821389739152275563269537976,3329
60201985719152968923586035996119359427197966166,4427
317290955563698460899292891380695693588974077664,2868
940667460159851083768974259563948724786129039376,367
1371691697942923990229702279723314735956668641335,23485
32846039040866670047370576737346002056093945230,4832
575136499275586784974623631554670580548209071278,12299
1156569061486981301311075272900294963355494926706,7417
925824824481567959781504067961400657203207640637,391
352785654292705647459828402318679976461974315552,12493
546202400781902392056036804155715445084367550955,1329
544036315166427377116957610337916936187988141108,14105
1141504612083858285284962507447925910918329966331,2218
244175481053083095877061340148959820926655918601,3622
771961586382664199387537662144923230462132950429,8306
469149178967951973898548521146555303506928476669,6418
666957720793127893129876053082724728100707869567,146
662662247174378463821552007870534437167703630484,6365
886021718725627567872472560052193408725460425751,2541
469509150283824674404647690549731708479728481429,68
304384644812962382255869612023186313542019447157,9743
246365460256697533012704108692793150704859631539,789
322432882984733421125148684336136717392459643510,8340
851104872907744572421315750671194100616532769445,17707
1180539791528338934271696025275697642492170090746,2866
356982904524699604516002398925580107815375138673,1533
408649751491493080480745666074719351458170522625,572
1393202526508006686764994998042085674509228619912,1046
647851240281421493360777991607646206953017129550,105
405237903900660486963434706769711597011219537853,7064
623537707897468378479072166791620139960678107510,20940
177649272511087155300197457678834033080218246773,469
752532819774044020389824999159600835453117334142,1077
1416444345363830742354855304072083828287146786037,9145
890142543170167407277306997399706469813046008715,2149
433554680306827050816872543323958201058556436810,641
957955046382267594560838130587186736595317098481,6649
1102976500232734365292459761079564881001049129625,14330
1372417742652044293799620073577339926382655577151,173
811362880595649809739797109894798246745088317166,8008
647330373642189831066062717461408845712666195063,1113
665993085387672796219749434346976713766694406245,737
277764761945373414682862639622501910181925795615,745
234522052840449163015628710062257586248281467450,21560
1430395478730093799510523646387217219148567578323,4192
1374710714934724874625766286152417457608914966987,766
71077491856583221700129086683886094869167019368,2237
437444295668795680876621475466852007328683489096,1390
1172619364288436434107810129640244535939396920505,7351
387739686734508763346176542642151525598970532782,13435
1128996569396193087053540990686199532874843189197,8878
642967187424700778983557042839116328561180148006,2637
1419688916737899067203427754307578729919166835617,1918
1438906828900196706805673232540758061103071510242,2603
448900990096566337886003147470909808771932884726,1043
22612340389698796550976523069155174501799574550,2731
431897064461408492320707838426141968517847051922,487
992803524348600841761903111786443358574484498239,11054
456891634444843591031610389062521293052955700619,3522
34928006341554688306889220781803175543806218850,574
1377243706802750582854601778424596465936529576726,864
644979248613936973021398797639546734810807096106,1051
44918271975664622955679028722361303893279471007,5290
66475419940183217372138851894061164799034384690,9180
970354502797298637209077264337533058357158785466,3240
1071884116895473222295915119774000266850022766242,184
1371767895889206751785068589642002878557700226400,20576
111226185203534217756038106392185718031485941623,16305
547019720688563231026122364827390072245106572045,404
1306192749373235201091819337130943461047673619488,54679
1137383510715778815395784615727032856109815968388,2798
1321267733546702916671502792238309489033869142113,6153
