Node,Load of node by messages routed
169079119506570272290403385448342606860027702722,3007
795910252033611394486338441114321811082335925564,2967
1373383911483474672284001440573859839584289933148,2593
1156903445233250573116094457048186282391753529798,2664
818146567398887006072940021307273678989700763646,2759
468920879942274766205577510463937153811044242845,3409
38161283487334689836497537617589803474644494003,2963
1450814398935660184509792240624389394866296262326,2762
711652437510085531907957729696727879223697412483,3037
1104195414147348898595482372616391209312376834707,2687
1327503958575975570402332665129356158922296074538,2938
934848081771257727135505746358746326278110684059,2554
306064796369096775904689981243511451399265826764,3358
1300020412222329942220143162826149800802536041989,2921
1250257369049711136631546334103156294560466815344,2982
202897773785631436698914380404295983678465966206,3029
1259002732675054044334320348449757778230675388003,3123
1082153752059201860207853548656651342203864785068,2660
1375946671806654179076536634774001849055905017283,2651
1242035292027172866093877370962356016804268415743,2940
109513541981216195109718523322634846590334334757,2950
188474117698330880132080992194587254426854922072,2957
15773697199292742151051036716507256284981396314,2920
1290888754344541582047425973331255928203841759405,2815
940830584241931987408605276407839623123964056793,2588
978918652142301274700773107176695590056602892642,2596
59103135334927638912941273530793753503654751684,3026
1001685633045106498927654112311980611152491816769,2749
359705960124179614825242896421464547143453544801,3704
539790694390165310413062752457728091400859447567,3601
120958476708087184133135665814739611810366032248,2937
1253942532128418349053456962946578068667574769045,3017
1049295095865970186344470676591799073054084472752,2479
46294402366343562221359631430591963092614770808,3008
1377409228797177775390896684487645576044735255035,2710
194989628204711939414359323502276363468125831421,2970
901595997471383708618450953831668248674607724950,2390
923939256143927195857018938556648335502845950209,2500
122319944088902864796154027836974373279243968346,3007
942324066668023054136660831880303462627991612889,2641
7580974518315944717832416278277968053653070953,2865
1222101427118806294787029931999674603206828995702,2811
215847065357411933755685000931467435228035570045,3098
1334179391628504863286708739345701997674230193399,3005
473610380139608838127859797970140873450312298605,3464
1067063121496183432667593488564420135709258310985,2604
745993580403807756970623681870823131826836196888,3043
377501915552123148033812900840468790739914516817,3647
950113813876716423248642402779127659254167668388,2702
343472811227340164681160649553160550063874477709,3594
953703750566195319177789365287594432692472451434,2749
177930860409696755468510424812902573273834172392,2916
261191272736232625933821164317892434708973836024,3186
142823603966426826101297947932179779612491330526,3026
355557873119739884098463558243462246858368472470,3640
789467140078684222983393608328660808355570769990,2944
382742373396837804688734864956690377881037755570,3641
1226680903580075684696188253006994923712925491266,2885
507080171790286905967321956398149901901205488640,3461
302025920513557018363931161681750367570736881038,3300
1449868808468040697205325926975366641218372180949,2689
1175635742337474702773293438166039022335329443450,2774
1293437933376135092176312374262905648362293417669,2870
1205034321596214065094578940047964653521784659267,2712
90438665810311418986714705496924844091132763062,2977
307443382590921535239385874574881292753263645184,3421
343124236514637460438393402779294391209385291164,3533
225210183499802498774116729328942272334485667804,3157
31539593964567233335619654071773178771802853197,2915
240324402594062895918691177669611974587477939674,3214
1115616812106429010086722749397945298520044401542,2750
307980675346447285746393208197314914927290751723,3484
325696854351423998323367624302826751987244325778,3553
1451726495240450622060075917012195423311573953982,2802
647526984405404345474414347137910714982302093437,3189
1257226505941236339062501252579647598905929094194,3076
547858396453721425749273096539322779620046551034,3657
1219003032450282169586817440419966479549249074368,2768
1132376425922124123207170652222785919789651335031,2773
1449390094104955105871470009978437349401158744212,2638
989857547156262993082376093157928510855806493921,2626
1148149122570035767520693738853725509960305873466,2686
1305497406949816513237344012310093932382931802197,2920
1092265485492365711167446566354365533715676370683,2638
845227041663223060569962388012081452878760171124,2593
1204479157611069014089125421698176110343051120457,2661
272699973532669042568932389053879269939351149362,3240
1111539639002202604118556253572277868236216014416,2682
991207061396866973132025913254121587485174225636,2686
1391968442413593511702264851026462055640694982818,2759
496994377180161655556430581009728144065142670406,3395
692987300262903134211832668577212638882881090691,2995
1060259471746774584452838257317366910902998214197,2543
1170504425612697240801728036492526041766314031496,2706
1168498623297279042502849366774776072634481319466,2641
828918408433001081471357667609229795302203017431,2720
917639300507361643793203476125112960344484713007,2450
1453352850969391241913767026170589147129429592384,2863
536915183288363754685088836142318280839301492756,3543
565460715416784045889271107689118630166457334264,3647
908217883849280566809142880606199114330468486738,3178
400715624477293441957291519779020476371353552331,3561
737729274133594651640643999863760980815374416998,3133
908019003934012952759838548385404472465378606854,3108
957210260391790770627423888671100589805412272435,3464
312784548077534980995212765750243920923686546044,3321
639223932760297018016505436111316744760362943723,3249
